code,name_en,name_tc,address_en,address_tc,telephone,hours_en,hours_tc,lat,lng,district,district_tc,sub_district,sub_district_tc,type,bizTypeCode,cold_chain
852A2002,"Conv. Store Shop 301 & 302, Choi Wah House, Choi Yuen Estate, Sheung Shui, N.T.",便利店 彩園村OK便利店,"Shop 301 & 302, Choi Wah House, Choi Yuen Estate, Sheung Shui, N.T.",新界上水彩園邨彩華樓地下301至302號鋪OK #18*,,00:00-23:59,00:00-23:59,22.49983,114.126395,North District,北區,Sheung Shui,上水,partner,"3,6,7",false
852A2006,"Conv. Store Shop 6, Ka Fuk Shopping Centre, Ka Fuk Estate, Fanling, N.T.",便利店 嘉福村商場OK便利店,"Shop 6, Ka Fuk Shopping Centre, Ka Fuk Estate, Fanling, N.T.",新界粉嶺嘉福邨商場中心6號鋪*OK #127,,00:00-23:59,00:00-23:59,22.493281,114.135619,North District,北區,Fanling,粉嶺,partner,"3,6,7",false
852A2008,"Conv. Store Shop 12, G/F, Yung Shing Shopping Centre, Yung Shing Court, Fanling, N.T.",便利店 雍盛商場OK便利店,"Shop 12, G/F, Yung Shing Shopping Centre, Yung Shing Court, Fanling, N.T.",新界粉嶺雍盛商場地下12號鋪*OK #185,,00:00-23:59,00:00-23:59 周六:00:00-00:00 周日:00:00-00:00,22.482671,114.138626,North District,北區,Fanling,粉嶺,partner,"3,6,7",false
852A2014,"Conv. Store Shop No. 1, G/F, Sing Fai House, Fai Ming Estate, Fanling, N.T",便利店 暉明邨OK便利店,"Shop No. 1, G/F, Sing Fai House, Fai Ming Estate, Fanling, N.T",粉嶺暉明邨升暉樓地下1號鋪OK #590*,,00:00-23:59,00:00-23:59,22.4816401,114.136836,North District,北區,Fanling,粉嶺,partner,"3,6,7",false
852A2016,OK #713,OK #713,"Shop 31, G/F, Queens Hill Shopping Centre, Queens Hill Estate, Fanling, New Territories",粉嶺皇後山邨皇後山商場地下31鋪OK #713*,,00:00-00:00,00:00-00:00 周六:00:00-00:00 周日:00:00-00:00 節假日:00:00-00:00,22.503708,114.157459,Tai Po District,大埔區,Tai Po,大埔,partner,"3,6,7",false
852A2017,OK #278,便利店 欣盛苑停車場大廈OK,"Shop NO.1 G/F., Carpark Building, Yan Shing Court, Fanling",粉嶺欣盛苑停車場大廈地下1號鋪OK #278*,,06:00-23:30,06:00-23:30 周六:06:00-23:30 周日:06:00-23:30 節假日:06:00-23:30,22.4864746,114.1392589,North District,北區,Fanling,粉嶺,partner,"3,6,7",false
852A2018,OK#540,便利店 華明商場地下OK,"Shop No. G22, Ground Floor , Wah Ming Shopping Centre, Fanling",粉嶺華明商場地下G22 號鋪OK#540*,,00:00-00:00,00:00-00:00 周六:00:00-00:00 周日:00:00-00:00 節假日:00:00-00:00,22.484029,114.141034,Tai Po District,大埔區,Tai Po,大埔,partner,"3,6,7",false
852A2019,OK #716*,便利店 榮福中心地下OK,"Shops 72,73,76,77,95-97,100-102 on G/F, Wing Fok Centre, No.1 Luen Chit Street, Fanling, New Territories","粉嶺榮福中心地下72-77,95-97,100-102號鋪OK #716*",,00:00-00:00,00:00-00:00 周六:00:00-00:00 周日:00:00-00:00 節假日:00:00-00:00,22.500966,114.141384,North District,北區,Fanling,粉嶺,partner,"3,6,7",false
852A2020,OK #341,便利店 清河邨商場13號鋪OK,"No. 13 Ching Ho Shopping Centre, Fanling, N.T.",粉嶺清河邨商場13號鋪OK #341*,,00:00-00:00,00:00-00:00 周六:00:00-00:00 周日:00:00-00:00 節假日:00:00-00:00,22.494331,114.127353,North District,北區,Fanling,粉嶺,partner,"3,6,7",false
852A2021,OK #571,便利店 上水中心商場地下OK,"Shop Nos. 1004A & 1004B on Level 1, Sheung Shui Centre, Sheung Shui.",新界上水中心商場地下1004A及1004B號鋪OK #571 *,,00:00-00:00,00:00-00:00 周六:00:00-00:00 周日:00:00-00:00 節假日:00:00-00:00,22.501225,114.129533,North District,北區,Sheung Shui,上水,partner,"3,6,7",false
